link	id	title	author	nsfw	genre	size	tags	images	text	rating	timestamp	price	manifest_info
https://victory-xr.itch.io/vr-pig-dissection	575586	VR Pig Dissection: Hoggin' the Scalpel	VictoryXR	-	Educational	-	Animals, biology, Classes, dissection, pig, Sci-fi, Virtual Reality (VR)	https://img.itch.zone/aW1nLzMwMjkxNTUucG5n/315x250%23c/Dkd%2BRJ.png,https://img.itch.zone/aW1hZ2UvNTc1NTg2LzMwMjk0MjAuanBn/347x500/J58C38.jpg,https://img.itch.zone/aW1hZ2UvNTc1NTg2LzMwMjk0MjEuanBn/347x500/WejaYa.jpg,https://img.itch.zone/aW1hZ2UvNTc1NTg2LzMwMjk0MjIuanBn/347x500/YTf55y.jpg,https://img.itch.zone/aW1hZ2UvNTc1NTg2LzMwMjk0MjQuanBn/347x500/jbYQtz.jpg,https://img.itch.zone/aW1hZ2UvNTc1NTg2LzMwMjk0MjMuanBn/347x500/eQO%2FUn.jpg	Dissect a pig in VR!	-	1582750380	$9.95	-
https://together.itch.io/togethervrm	558434	TOGETHER VR for SideQuest	AURORA GAMES	nsfw	Simulation	1 GB	Anime, Cute, Erotic, First-Person, Oculus Quest, Unreal Engine, Virtual Reality (VR)	https://img.itch.zone/aW1nLzI5OTc2NjMuanBn/315x250%23c/%2F0QiUV.jpg,https://img.itch.zone/aW1hZ2UvNTU4NDM0LzI5NjQxMTAucG5n/347x500/tBBs2N.png,https://img.itch.zone/aW1hZ2UvNTU4NDM0LzI5NjQxMjEucG5n/347x500/ZHTy0h.png,https://img.itch.zone/aW1hZ2UvNTU4NDM0LzI5NjQxMjIucG5n/347x500/ibrNk3.png,https://img.itch.zone/aW1hZ2UvNTU4NDM0LzI5NjQxMjYucG5n/347x500/Wp44d4.png,https://img.itch.zone/aW1hZ2UvNTU4NDM0LzI5NjQxMjQucG5n/347x500/WXmAi1.png,https://img.itch.zone/aW1hZ2UvNTU4NDM0LzI5NjQxMjUucG5n/347x500/Y7Iora.png	Come! Indulge yourselves in your own private den and create sweet and loving memories with her!	4.0,7	1596487740	$4.09	-
https://chesstar.itch.io/kingdom-of-blades	571707	Kingdom of BladesOculus Quest VR	Chesstar Studios	-	Action	180 bytes	Oculus Quest, Virtual Reality (VR)	https://img.itch.zone/aW1nLzMxMDU0MzAuanBn/315x250%23c/zeyLHj.jpg,https://img.itch.zone/aW1hZ2UvNTcxNzA3LzMwMDg3MzgucG5n/347x500/Ry%2FBbH.png,https://img.itch.zone/aW1hZ2UvNTcxNzA3LzMwMDg3MzkucG5n/347x500/Bpquyr.png,https://img.itch.zone/aW1hZ2UvNTcxNzA3LzMwMDg3MzUucG5n/347x500/8%2FIX06.png,https://img.itch.zone/aW1hZ2UvNTcxNzA3LzMwMDg3MzcucG5n/347x500/iNpLHM.png,https://img.itch.zone/aW1hZ2UvNTcxNzA3LzMwMDg3MzYucG5n/347x500/mqT%2BeA.png	Experience the best in VR swordplay and live out the events of the Three Kingdoms.	5.0,5	1603445220	$4.79	-
https://victory-xr.itch.io/vr-dissections-rib	571911	VR Frog Dissection: Ribbit-ing Discoveries	VictoryXR	-	Educational	-	Animals, biology, Classes, quest, school, science, teaching, Virtual Reality (VR)	https://img.itch.zone/aW1nLzMwMjkwMjMucG5n/315x250%23c/2rKZ5h.png,https://img.itch.zone/aW1hZ2UvNTcxOTExLzMwMTc2MDguanBn/347x500/UrRy86.jpg,https://img.itch.zone/aW1hZ2UvNTcxOTExLzMwMTc2MTAuanBn/347x500/xB1cmh.jpg,https://img.itch.zone/aW1hZ2UvNTcxOTExLzMwMTc2MDkuanBn/347x500/oYCPZe.jpg,https://img.itch.zone/aW1hZ2UvNTcxOTExLzMwMTc2MTEuanBn/347x500/ndutrY.jpg	Make Ribbit-ing Discoveries in this virtual reality Frog Dissection.	-	1582750440	$6.95	-
https://questeroid.itch.io/bobby-crane	571774	Bobby crane VR for Oculus Quest	Questeroid Games	-	Educational	39 MB	crane, kids, Oculus Quest, Physics, simulator, Singleplayer, Virtual Reality (VR)	https://img.itch.zone/aW1nLzMwMDU5OTEuanBn/315x250%23c/xFqut7.jpg,https://img.itch.zone/aW1hZ2UvNTcxNzc0LzMwMDYwMjQuanBn/347x500/%2BtaXlc.jpg,https://img.itch.zone/aW1hZ2UvNTcxNzc0LzMwMDYwMjUuanBn/347x500/%2BgPFUH.jpg	kids vr game for oculus quest	-	1585908060	-	gear,head,hands
https://desx-studios.itch.io/the-elementalist-vr	571359	The Elementalist VR	DES.X Studios	-	Action	141 MB	3D, duel, elementalist, elements, Multiplayer, Virtual Reality (VR), Wizards	https://img.itch.zone/aW1nLzMwMDU1MDUucG5n/315x250%23c/537RjP.png,https://img.itch.zone/aW1hZ2UvNTcxMzU5LzMwMDU0MTQucG5n/347x500/I%2Bpc1V.png,https://img.itch.zone/aW1hZ2UvNTcxMzU5LzMwMDU0NDMucG5n/347x500/Xc5ddc.png,https://img.itch.zone/aW1hZ2UvNTcxMzU5LzMwMDU0NDEucG5n/347x500/EldVdA.png,https://img.itch.zone/aW1hZ2UvNTcxMzU5LzMwMDU0NDAucG5n/347x500/JXQiMH.png,https://img.itch.zone/aW1hZ2UvNTcxMzU5LzMwMDU0NDIucG5n/347x500/nDL9I6.png	VR Wizarding Duel	-	1582099320	-	gear,head
https://peanut-button.itch.io/distresssignal	566309	Distress Signal	PeanutButton Labs	-	Interactive Fiction	81 MB	art, astronaut, creativity, psychedelic, signal, Space, Virtual Reality (VR)	https://img.itch.zone/aW1nLzI5NzUwNDEucG5n/315x250%23c/Vd8NYu.png,https://img.itch.zone/aW1hZ2UvNTY2MzA5LzI5NzUxMTIucG5n/347x500/LSxR5a.png,https://img.itch.zone/aW1hZ2UvNTY2MzA5LzI5NzUxMTYucG5n/347x500/uI9LtT.png,https://img.itch.zone/aW1hZ2UvNTY2MzA5LzI5NzUxMTUucG5n/347x500/jDNxWE.png,https://img.itch.zone/aW1hZ2UvNTY2MzA5LzI5NzUxMTMucG5n/347x500/0ycq3j.png,https://img.itch.zone/aW1hZ2UvNTY2MzA5LzI5NzUxMTQucG5n/347x500/FLwbYu.png	A short VR psychedelic experience	-	1581510240	-	gear,head
https://vaulkharalexis.itch.io/nailed-it	563472	Nailed It !	VaulkharAlexis	-	Rhythm	83 MB	3D, Arcade, Global Game Jam 2020, Global Game Jam, htc-vive, Oculus Quest, Oculus Rift, Singleplayer, Unreal Engine, Virtual Reality (VR)	https://img.itch.zone/aW1nLzI5NTgyODMucG5n/315x250%23c/QCySdQ.png,https://img.itch.zone/aW1hZ2UvNTYzNDcyLzI5NjQxNTguanBn/347x500/nglLqZ.jpg,https://img.itch.zone/aW1hZ2UvNTYzNDcyLzI5NjM3MDQuanBn/347x500/okf7%2Bm.jpg,https://img.itch.zone/aW1hZ2UvNTYzNDcyLzI5NjM3MDcuanBn/347x500/mVrXoI.jpg,https://img.itch.zone/aW1hZ2UvNTYzNDcyLzI5NjM3MDUuanBn/347x500/GRmYYJ.jpg,https://img.itch.zone/aW1hZ2UvNTYzNDcyLzI5NjM3MDYuanBn/347x500/eZ1D32.jpg	A game made during the Global Game Jam 2020. Smash nails to repair objects!	-	1581334740	-	gear,head
https://tuism.itch.io/everything-is-broken	564373	Everything is Broken	Steven Tu	-	Action	40 MB	Oculus Quest, Physics, Space Sim, Virtual Reality (VR)	https://img.itch.zone/aW1nLzI5NjM4MTcuZ2lm/315x250%23cm/EgE8ju.gif,https://img.itch.zone/aW1hZ2UvNTY0MzczLzI5NjM4MjQucG5n/347x500/BBEOjC.png,https://img.itch.zone/aW1hZ2UvNTY0MzczLzI5NjM4MjUucG5n/347x500/hgTPh9.png,https://img.itch.zone/aW1hZ2UvNTY0MzczLzI5NjM4MjYucG5n/347x500/y8n3d3.png	VR broken spaceship sim for Oculus Quest	-	1581231600	-	gear,head
https://jantunes.itch.io/healing	564116	Healing	Joo Eiras Antunes	-	Interactive Fiction	152 MB	3D, mood, Oculus Quest, story, Virtual Reality (VR)	https://img.itch.zone/aW1nLzI5NjIzNzYuanBn/315x250%23c/9jmFjt.jpg,https://img.itch.zone/aW1nLzI5NjIzNzYuanBn/347x500/EsgY%2FK.jpg,https://img.itch.zone/aW1nLzI5NjI0MzEucG5n/original/mQydAZ.png,https://img.itch.zone/aW1nLzI5NjI0MzUuanBn/original/3IiD%2BK.jpg,https://img.itch.zone/aW1nLzI5NjI0NDMuanBn/original/yVManh.jpg,https://img.itch.zone/aW1nLzI5NjI0NDUuanBn/original/fUZ%2Bjs.jpg	-	5.0,3	1583078100	-	gear,head
